"id","color_blind","yrs_english","video_games","device","headphones","order_of_levels","distraction_level","sleep","start_time","OffTime","OnTime","Total_runs_Stroop_Off","Total_runs_Stroop_On","OnTime_minus_OffTime","order"
1,"No",12,"No","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,"afternoon",47.379,50.003,7,7,2.624,1
1,"No",12,"No","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",8,"afternoon",46.169,48.313,5,5,2.144,2
1,"No",12,"No","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",8,"afternoon",44.765,45.911,7,7,1.146,3
2,"No",7,"No","Android phone","In-ear headphones; not noise cancelling",NA,"control",8,"morning",61.675,74.913,5,5,13.238,1
2,"No",7,"No","Android phone","In-ear headphones; not noise cancelling",NA,"classical",8,"morning",64.676,64.676,6,6,25.934,2
2,"No",7,"No","Android phone","In-ear headphones; not noise cancelling",NA,"lyrics",8,"morning",70.651,82.432,7,7,11.781,3
3,"No",4,"No","iPhone / iPod","Over-ear headphones; noise cancelling",NA,"control",9,"afternoon",75.542,82.57,5,5,7.028,1
3,"No",4,"No","iPhone / iPod","Over-ear headphones; noise cancelling",NA,"lyrics",9,"afternoon",79.855,88.525,5,5,8.67,2
3,"No",4,"No","iPhone / iPod","Over-ear headphones; noise cancelling",NA,"classical",8,"afternoon",77.63,83.015,5,5,5.385,3
4,"No",5,"No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,"morning",62.823,75.34,5,5,12.518,1
4,"No",5,"No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",7,"morning",65.072,75.898,5,5,10.826,2
4,"No",5,"No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",7,"morning",64.517,73.342,6,6,8.825,3
5,"No",18,"No","Android phone","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","classical",8,"morning",48.707,61.569,5,5,12.862,1
5,"No",18,"No","Android phone","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","control",8,"morning",50.179,54.965,5,5,4.786,2
5,"No",18,"No","Android phone","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",8,"morning",47.539,55.176,5,5,7.637,3
6,"No",4,"Yes","iPhone / iPod","Over-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",7,"afternoon",55.982,65.715,5,5,9.733,1
6,"No",4,"Yes","iPhone / iPod","Over-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","classical",7,"afternoon",54.149,58.828,5,5,4.679,2
6,"No",4,"Yes","iPhone / iPod","Over-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","control",7,"afternoon",54.655,63.137,5,5,8.482,3
7,"No",17,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling",NA,"control",7,"afternoon",40.78,44.449,21,21,3.67,1
7,"No",17,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling",NA,"classical",7,"afternoon",44.229,45.964,16,16,1.735,2
7,"No",17,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling",NA,"lyrics",7,"afternoon",38.798,42.046,9,9,3.248,3
8,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"control",10,"morning",54.597,73.384,5,5,18.787,1
8,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"classical",10,"morning",58.037,66.203,6,6,8.166,2
8,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"lyrics",10,"morning",57.47,65.333,5,5,7.863,3
9,"Yes",3,"Yes","iPad tablet","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,"morning",65.122,64.081,5,5,-1.041,1
9,"Yes",3,"Yes","iPad tablet","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",8,"morning",59.274,63.402,7,7,4.128,2
9,"Yes",3,"Yes","iPad tablet","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",8,"morning",64.517,61.536,6,6,-2.981,3
10,"No",5,"No","iPad tablet","Over-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",7,"afternoon",59.321,68.984,5,5,9.663,1
10,"No",5,"No","iPad tablet","Over-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","classical",7,"afternoon",57.499,60.073,5,5,2.574,2
10,"No",5,"No","iPad tablet","Over-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",7,"afternoon",57.778,62.856,6,6,5.079,3
11,"No",3,"No","iPhone / iPod","Over-ear headphones; noise cancelling","Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);","classical",10,"afternoon",64.064,79.917,5,5,15.853,1
11,"No",3,"No","iPhone / iPod","Over-ear headphones; noise cancelling","Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);","lyrics",10,"afternoon",64.075,70.041,5,5,5.966,2
11,"No",3,"No","iPhone / iPod","Over-ear headphones; noise cancelling","Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);","control",10,"afternoon",57.744,60.586,5,5,2.842,3
12,"No",10,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",7,"evening",59.2,68.705,5,5,9.505,1
12,"No",10,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","classical",7,"evening",60.21,57.56,5,5,-2.65,2
12,"No",10,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",7,"evening",59.385,60.465,5,5,1.08,3
13,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",9,"afternoon",52.476,65.214,5,5,12.738,1
13,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",9,"afternoon",54.443,60.627,6,6,6.183,2
13,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",9,"afternoon",53.559,52.176,6,6,-1.383,3
14,"No",12,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"control",7,"afternoon",53.057,49.907,5,5,-3.15,1
14,"No",12,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"classical",7,"afternoon",50.013,50.883,5,5,0.869,2
14,"No",12,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"lyrics",7,"afternoon",47.418,50.625,7,7,3.207,3
15,"No",12,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","classical",9,"evening",57.41,60.796,7,7,3.387,1
15,"No",12,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","control",9,"evening",55.584,62.405,5,5,6.821,2
15,"No",12,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",9,"evening",54.826,58.455,5,5,3.628,3
16,"No",8,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,"afternoon",70.689,90.378,5,5,19.689,1
16,"No",8,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",7,"afternoon",74.808,83.99,5,5,9.182,2
16,"No",8,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",7,"afternoon",74.808,83.99,5,5,9.182,3
17,"No",6,"No","Android phone","In-ear headphones; not noise cancelling",NA,"control",8,"evening",49.166,55.254,5,5,6.088,1
17,"No",6,"No","Android phone","In-ear headphones; not noise cancelling",NA,"classical",8,"evening",51.532,54.891,5,5,3.359,2
17,"No",6,"No","Android phone","In-ear headphones; not noise cancelling",NA,"lyrics",8,"evening",46.468,49.934,5,5,3.466,3
18,"No",7,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7.5,"evening",58.41,68.398,5,5,9.988,1
18,"No",7,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",7.5,"evening",56.341,64.575,5,5,8.234,2
18,"No",7,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",7.5,"evening",58.102,62.024,5,5,3.922,3
19,"No",8,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","classical",9.5,"afternoon",46.513,46.738,6,6,0.225,1
19,"No",8,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","control",9.5,"afternoon",38.728,46.292,6,6,11.564,2
19,"No",8,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",9.5,"afternoon",43.108,38.584,5,5,-4.524,3
20,"No",16,"No","Android phone","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",8,"evening",58.707,60.834,5,5,2.127,1
20,"No",16,"No","Android phone","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","classical",8,"evening",51.562,55.042,5,5,3.48,2
20,"No",16,"No","Android phone","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",8,"evening",48.819,48.725,5,5,-0.094,3
21,"No",5,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,"afternoon",64.422,68.845,5,5,4.422,1
21,"No",5,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",8,"afternoon",70.973,74.591,5,5,3.618,2
21,"No",5,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",8,"afternoon",62.503,66.603,5,5,4.1,3
22,"No",19,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,"evening",44.871,54.092,6,6,9.221,1
22,"No",19,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",7,"evening",42.52,50.446,6,6,7.926,2
22,"No",19,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",7,"evening",46.416,51.818,6,6,5.402,3
23,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"control",8,"evening",48.333,50.329,8,8,1.996,1
23,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"lyrics",8,"evening",49.112,49.967,7,7,0.855,2
23,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"classical",8,"evening",47.351,47.836,5,5,0.484,3
24,"No",15,"No","iPad tablet","Over-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",6,"evening",53.592,56.983,11,11,3.391,1
24,"No",15,"No","iPad tablet","Over-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","classical",6,"evening",55.44,60.68,6,6,5.241,2
24,"No",15,"No","iPad tablet","Over-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","control",6,"afternoon",52.866,57.312,11,11,4.447,3
25,"No",5,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"control",10,"evening",56.938,60.618,10,10,3.68,1
25,"No",5,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"classical",10,"morning",51.24,52.274,10,10,1.034,2
25,"No",5,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"lyrics",10,"evening",49.983,52.905,6,6,2.922,3
26,"No",4,"Yes","iPad tablet","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",8,"evening",57.557,65.089,6,6,7.532,1
26,"No",4,"Yes","iPad tablet","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","classical",8,"evening",58.263,55.857,5,5,-2.407,2
26,"No",4,"Yes","iPad tablet","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",8,"evening",57.245,63.957,7,7,6.713,3
27,"No",5,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"control",7,"morning",50.69,58.225,9,9,7.536,1
27,"No",5,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"classical",7,"morning",57.703,61.188,8,8,3.485,2
27,"No",5,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"lyrics",7,"morning",59.66,66.343,11,11,6.683,3
28,"No",7,"Yes","Android phone","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",5.5,"evening",59.355,68.949,5,5,9.594,1
28,"No",7,"Yes","Android phone","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",5.5,"evening",57.37,58.717,5,5,1.347,2
28,"No",7,"Yes","Android phone","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",5.5,"evening",54.17,62.17,5,5,8,3
29,"No",6,"No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,"evening",44.934,48.164,7,7,3.23,1
29,"No",6,"No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",8,"morning",41.127,43.698,9,9,2.57,2
29,"No",6,"No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",8,"morning",39.285,45.737,5,5,6.452,3
30,"No",17,"No","iPad tablet","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",7,"morning",43.034,49.521,5,5,6.487,1
30,"No",17,"No","iPad tablet","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","classical",7,"morning",43.178,44.558,5,5,1.388,2
30,"No",17,"No","iPad tablet","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","control",7,"morning",41.26,43.353,5,5,2.094,3
31,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",6,"evening",60,90,5,5,30,1
31,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","classical",6,"evening",70,90,5,5,20,2
31,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",6,"evening",75,95,5,5,20,3
32,"No",7,"No","iPad tablet","In-ear headphones; not noise cancelling",NA,"control",8,"morning",65.914,82.242,5,5,16.328,1
32,"No",7,"No","iPad tablet","In-ear headphones; not noise cancelling",NA,"classical",8,"morning",67.873,72.201,5,5,4.329,2
32,"No",7,"No","iPad tablet","In-ear headphones; not noise cancelling",NA,"lyrics",8,"morning",65.844,85.561,6,6,19.717,3
33,"No",4,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,"afternoon",58.646,72.688,6,6,14.043,1
33,"No",4,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",8,"afternoon",60.809,66.892,7,7,6.082,2
33,"No",4,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",8,"afternoon",59.48,61.53,5,5,2.05,3
34,"No",6,"No","iPhone / iPod","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",6,"evening",59.428,65.819,6,6,6.387,1
34,"No",6,"No","iPhone / iPod","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",6,"evening",56.561,63.715,5,5,7.154,2
34,"No",6,"No","iPhone / iPod","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",6,"evening",55.465,61.847,5,5,6.382,3
35,"No",8,"Yes","Android phone","In-ear headphones; noise cancelling",NA,"control",8,"afternoon",63.775,86.652,8,8,22.877,1
35,"No",8,"Yes","Android phone","In-ear headphones; noise cancelling",NA,"lyrics",8,"afternoon",58.253,76.497,5,5,18.244,2
35,"No",8,"Yes","Android phone","In-ear headphones; noise cancelling",NA,"classical",8,"afternoon",55.039,72.708,5,5,17.669,3
36,"No",16,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",8,"evening",66.446,72.914,6,6,6.467,1
36,"No",16,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","classical",8,"evening",58.412,74.849,7,7,16.436,2
36,"No",16,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",8,"evening",61.265,64.047,6,6,2.782,3
37,"No",4,"No","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,"afternoon",61.042,62.32,5,5,1.278,1
37,"No",4,"No","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",7,"afternoon",60.624,66.755,7,7,6.131,2
