"id","color_blind","yrs_english","video_games","device","headphones","order_of_levels","distraction_level","sleep","start_time","OffTime","OnTime","Total_runs_Stroop_Off","Total_runs_Stroop_On","OnTime_minus_OffTime","order"
37,"No",4,"No","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",7,"afternoon",67.178,65.705,6,6,-1.473,3
38,"No",7,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",10,"afternoon",43.112,49.378,8,8,6.267,1
38,"No",7,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","classical",10,"afternoon",42.012,43.625,7,7,1.613,2
38,"No",7,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",10,"afternoon",43.133,43.771,7,7,0.637,3
39,"No",3,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,"evening",53.16,66.096,5,5,12.936,1
39,"No",3,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",7,"evening",51.967,67.324,6,6,15.356,2
39,"No",3,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",7,"evening",48.698,56.265,5,5,7.568,3
40,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","lyrics",8.5,"evening",62.703,63.815,6,6,1.111,1
40,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","control",8.5,"evening",59.879,66.752,5,5,6.873,2
40,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","classical",8.5,"evening",61.35,63.202,5,5,1.852,3
41,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,"morning",57.096,73.209,6,6,16.113,1
41,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",8,"morning",72.522,76.608,5,5,4.086,2
41,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",8,"morning",63.52,71.39,5,5,7.87,3
42,"No",4,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",12,"evening",59.135,73.403,5,5,14.268,1
42,"No",4,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",12,"evening",57.638,65.235,5,5,7.592,2
42,"No",4,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",12,"evening",57.71,69.637,5,5,11.927,3
43,"No",7,"No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,"evening",62.085,76.32,5,5,14.235,1
43,"No",7,"No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",8,"evening",62.45,65.634,5,5,3.184,2
43,"No",7,"No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",8,"evening",56.9,64.779,5,5,7.878,3
44,"No",7,"Yes","iPhone / iPod","In-ear headphones; noise cancelling",NA,"control",6,"afternoon",46.323,51.817,6,6,5.494,1
44,"No",7,"Yes","iPhone / iPod","In-ear headphones; noise cancelling",NA,"lyrics",6,"afternoon",43.001,47.8,5,5,4.8,2
44,"No",7,"Yes","iPhone / iPod","In-ear headphones; noise cancelling",NA,"classical",6,"afternoon",42.406,51.447,5,5,9.041,3
45,"No",3,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,"evening",47.726,50.895,6,6,3.17,1
45,"No",3,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",7,"evening",47.448,53.969,6,6,6.521,2
45,"No",3,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",7,"evening",45.983,48.044,6,6,2.061,3
46,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"control",8,"evening",50.503,60.853,5,5,10.35,1
46,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"lyrics",8,"evening",49.129,61.407,5,5,12.277,2
46,"No",7,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"classical",8,"evening",50.121,54.166,8,8,4.045,3
47,"No",14,"Yes","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",9,"morning",60.596,56.876,7,7,-3.72,1
47,"No",14,"Yes","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",9,"morning",55.827,63.426,9,9,7.599,2
47,"No",14,"Yes","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",9,"morning",50.972,59.825,5,5,8.853,3
48,"No",4,"No","iPhone / iPod","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",8,"evening",56.101,62.819,7,7,6.718,1
48,"No",4,"No","iPhone / iPod","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",8,"evening",53.515,62.697,9,9,9.182,2
48,"No",4,"No","iPhone / iPod","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","classical",8,"evening",55.162,59.435,6,6,4.274,3
49,"No",10,"Yes","Android phone","Over-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","lyrics",5,"evening",60.755,74.557,5,5,13.802,1
49,"No",10,"Yes","Android phone","Over-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","control",5,"afternoon",62.438,75.747,5,5,13.309,2
49,"No",10,"Yes","Android phone","Over-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","classical",5,"evening",65.292,73.546,5,5,8.254,3
50,"No",4,"No","iPad tablet","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",7,"evening",58.931,82.433,5,5,23.502,1
50,"No",4,"No","iPad tablet","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","classical",7,"evening",68.291,86.641,5,5,18.35,2
50,"No",4,"No","iPad tablet","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",7,"evening",64.307,69.609,5,5,5.303,3
51,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);","classical",7,"evening",61.011,68.933,11,11,7.922,1
51,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);","lyrics",5,"morning",60.08,63.202,6,6,3.121,2
51,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);","control",7,"evening",56.05,62.18,6,6,6.131,3
52,"No",4,"No","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,"evening",64.646,68.636,5,5,3.992,1
52,"No",4,"No","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",8,"evening",65.343,70.544,5,5,5.201,2
52,"No",4,"No","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",8,"evening",65.637,69.957,5,5,4.32,3
53,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,"afternoon",55.64,64.575,5,5,8.935,1
53,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",7,"afternoon",51.421,53.795,6,6,2.374,2
53,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",7,"afternoon",52.127,63.934,5,5,11.807,3
54,"No",6,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",10,"evening",64.852,60.342,5,5,-4.51,1
54,"No",6,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","classical",10,"evening",64.789,67.472,5,5,2.683,2
54,"No",6,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",10,"evening",59.323,60.446,6,6,1.123,3
55,"No",12,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"control",7,"afternoon",62.161,78.418,5,5,16.257,1
55,"No",12,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"lyrics",7,"afternoon",60.98,86.616,6,6,25.636,2
55,"No",12,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"classical",7,"afternoon",68.801,78.9,6,6,10.099,3
56,"No",15,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,"morning",52.937,72.799,5,5,19.863,1
56,"No",15,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",7,"morning",64.355,65.455,6,6,1.1,2
56,"No",15,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",7,"morning",52.983,61.05,5,5,8.067,3
57,"No",8,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"control",6,"afternoon",49,52.736,6,6,2.836,1
57,"No",8,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"lyrics",6,"afternoon",42.085,42.732,6,6,0.648,2
57,"No",8,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"classical",6,"afternoon",43.058,52.059,11,11,9.002,3
58,"No",4,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",7,"evening",53.561,55.167,5,5,1.606,1
58,"No",4,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","classical",7,"evening",48.986,59.549,9,9,10.563,2
58,"No",4,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","control",7,"evening",48.6,63.107,5,5,14.507,3
59,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",8,"afternoon",51.108,57.302,6,6,6.193,1
59,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","classical",8,"afternoon",45.032,50.686,5,5,5.653,2
59,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","control",8,"afternoon",46.593,45.332,6,6,-1.261,3
60,"No",6,"No","Android phone","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",9,"afternoon",64.282,67.526,5,5,3.244,1
60,"No",6,"No","Android phone","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","classical",9,"afternoon",62.878,74.753,6,6,11.875,2
60,"No",6,"No","Android phone","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","control",9,"afternoon",59.464,67.308,7,7,7.844,3
61,"No",18,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling",NA,"control",6,"afternoon",47.787,52.47,5,5,4.683,1
61,"No",18,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling",NA,"classical",6,"afternoon",43.332,47.893,6,6,4.561,2
61,"No",18,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling",NA,"lyrics",6,"afternoon",43.393,50.888,5,5,7.495,3
62,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"control",9,"afternoon",63.706,62.831,8,8,-0.875,1
62,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"classical",9,"afternoon",58.762,62.393,7,7,3.631,2
62,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling",NA,"lyrics",9,"afternoon",58.441,70.672,5,5,12.231,3
63,"No",4,"Yes","Android phone","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","lyrics",6,"morning",53.741,58.63,5,5,4.889,1
63,"No",4,"Yes","Android phone","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","control",6,"morning",51.668,55.224,5,5,3.556,2
63,"No",4,"Yes","Android phone","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","classical",6,"morning",46.927,52.892,5,5,5.965,3
64,"No",15,"No","iPhone / iPod","In-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",7,"afternoon",54.925,71.675,6,6,16.75,1
64,"No",15,"No","iPhone / iPod","In-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","classical",7,"evening",61.895,63.709,5,5,1.814,2
64,"No",15,"No","iPhone / iPod","In-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","control",9,"morning",55.649,68.191,5,5,12.543,3
65,"No",16,"Yes","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",9,"evening",60.732,68.133,8,8,7.401,1
65,"No",16,"Yes","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","classical",9,"evening",55.163,61.198,6,6,6.035,2
65,"No",16,"Yes","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",9,"evening",50.501,60.396,8,8,9.895,3
66,"No",15,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",7,"evening",55.635,64.715,5,5,9.08,1
66,"No",15,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","classical",7,"afternoon",57.885,61.71,5,5,3.825,2
66,"No",15,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",7,"afternoon",60.71,60.32,5,5,-0.389999999999993,3
67,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",9,"afternoon",62.486,69.903,6,6,7.417,1
67,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",9,"afternoon",55.643,67.244,5,5,11.601,2
67,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",9,"afternoon",56.125,62.655,5,5,6.53,3
68,"No",4,"Yes","iPad tablet","In-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","control",6,"afternoon",46.423,51.247,5,5,4.824,1
68,"No",4,"Yes","iPad tablet","In-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",6,"afternoon",44.28,40.749,5,5,-3.532,2
68,"No",4,"Yes","iPad tablet","In-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","classical",6,"afternoon",40.698,44.014,6,6,3.316,3
69,"No",4,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","classical",8,"evening",60.174,72.374,5,5,12.2,1
69,"No",4,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","control",8,"evening",61.929,61.739,5,5,-0.19,2
69,"No",4,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","lyrics",8,"evening",58.824,66.793,5,5,7.969,3
70,"No",17,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",6,"evening",48.742,55.761,5,5,7.019,1
70,"No",17,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",6,"morning",45.96,53.425,5,5,7.465,2
70,"No",17,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",6,"morning",46.507,52.875,5,5,6.368,3
71,"No",4,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,"evening",51.193,57.235,7,7,6.042,1
71,"No",4,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",8,"afternoon",47.983,56.477,9,9,8.494,2
71,"No",4,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",8,"afternoon",46.76,51.594,7,7,4.834,3
72,"No",18,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",9,"evening",54.248,70.825,5,5,16.577,1
72,"No",18,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","lyrics",8,"morning",52.843,74.112,6,6,21.269,2
72,"No",18,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","classical",8,"morning",49.804,73.3,5,5,23.496,3
